,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
2984,Volkswagen,Golf6,Volkswagen Golf6,36000,2011,5,188000,Essence,Manuelle,manouba
2985,Volkswagen,Polo3,Volkswagen Polo3,10000,1995,5,51900,Essence,Manuelle,nabeul
2986,Volkswagen,Polo6,Volkswagen Polo6,20000,2006,5,240000,Essence,Manuelle,nabeul
2987,Volkswagen,Polo6,Volkswagen Polo6,15500,2007,5,211000,Essence,Manuelle,monastir
2988,Volkswagen,Polo7,Volkswagen Polo7,23000,2010,5,153000,Essence,Manuelle,sousse
2989,Volkswagen,Polo6,Volkswagen Polo6,13900,2008,5,210000,Essence,Manuelle,bizerte
2990,Volkswagen,Polo5,Volkswagen Polo5,10500,2004,5,260000,Essence,Manuelle,manouba
2991,Volkswagen,Golf4,Volkswagen Golf4,14000,1999,5,200000,Essence,Manuelle,sousse
2992,Volkswagen,Polo6,Volkswagen Polo6,15300,2007,5,175000,Essence,Manuelle,sidi-bouzid
2993,Volkswagen,Golf5,Volkswagen Golf5,25000,2007,5,172000,Essence,Manuelle,nabeul
2994,Volkswagen,Golf5,Volkswagen Golf5,25000,2007,5,173000,Essence,Manuelle,nabeul
2995,Volkswagen,Polo7,Volkswagen Polo7,17500,2010,5,100000,Essence,Manuelle,kebili
2996,Volkswagen,Polo5,Volkswagen Polo5,15000,2005,5,186000,Essence,Manuelle,kairouan
2997,Volkswagen,Golf5,Volkswagen Golf5,24000,2015,5,100000,Diesel,Manuelle,bizerte
2998,Volkswagen,Passat,Volkswagen Passat,59500,2014,5,152000,Diesel,Manuelle,benarous
2999,Volkswagen,Caddy,Volkswagen Caddy,31000,2016,5,205000,Diesel,Manuelle,sousse
3000,Volkswagen,Passat,Volkswagen Passat,46000,2012,5,156000,Diesel,Manuelle,nabeul
3001,Volkswagen,Golf6,Volkswagen Golf6,35000,2010,5,201000,Diesel,Manuelle,nabeul
3002,Volkswagen,Passat,Volkswagen Passat,40000,2011,5,190000,Diesel,Manuelle,benarous
3003,Volkswagen,Passat,Volkswagen Passat,36500,2010,5,260000,Diesel,Manuelle,kasserine
3004,Volkswagen,Caddy,Volkswagen Caddy,34500,2014,5,96000,Diesel,Manuelle,gafsa
3005,Volkswagen,Passat,Volkswagen Passat,68000,2013,5,149000,Diesel,Manuelle,sousse
3006,Volkswagen,Golf6,Volkswagen Golf6,33000,2010,5,192000,Diesel,Manuelle,monastir
3007,Volkswagen,Passat,Volkswagen Passat,67000,2013,5,148000,Diesel,Manuelle,sousse
3008,Volkswagen,Passat,Volkswagen Passat,55000,2013,5,110000,Diesel,Manuelle,sousse
3009,Volkswagen,Caddy,Volkswagen Caddy,21000,2012,5,215000,Diesel,Manuelle,sousse
3010,Volkswagen,Passat,Volkswagen Passat,55000,2013,5,100000,Diesel,Manuelle,sousse
3011,Volkswagen,Passat,Volkswagen Passat,55000,2013,5,112000,Diesel,Manuelle,sousse
3012,Volkswagen,Golf6,Volkswagen Golf6,30500,2010,5,107000,Diesel,Manuelle,benarous
